"NDC11","HICSEQNO","ReportedInactiveID","Note"
"16714034804","002432",24,""
"16714034804","008923",56,""
"16714034804","010138",14,""
"16714034804","010141",15,""
"16714034804","010143",16,""
"16714034804","013405",52,""
"16714035401","002537",169,""
"16714035401","010138",14,""
"16714035402","002537",169,""
"16714035402","010138",14,""
"16714035501","002537",169,""
"16714035502","002537",169,""
"16714035601","002537",169,""
"16714035601","010138",14,""
"16714035601","010143",16,""
"16714035602","002537",169,""
"16714035602","010138",14,""
"16714035602","010143",16,""
"16714035701","002537",169,""
"16714035801","002332",46,""
"16714035801","002468",39,""
"16714035801","003203",33,""
"16714035801","010095",90,""
"16714035901","000915",73,""
"16714035901","002432",24,""
"16714035901","008923",56,""
"16714035901","010141",15,""
"16714035901","010143",16,""
"16714035901","013405",52,""
"16714035903","000915",73,""
"16714035903","002432",24,""
"16714035903","008923",56,""
"16714035903","010141",15,""
"16714035903","010143",16,""
"16714035903","013405",52,""
"16714035904","000915",73,""
"16714035904","002432",24,""
"16714035904","008923",56,""
"16714035904","010141",15,""
"16714035904","010143",16,""
"16714035904","013405",52,""
"16714036001","000915",73,""
"16714036001","002432",24,""
"16714036001","010138",14,""
"16714036001","010141",15,""
"16714036001","010143",16,""
"16714036001","013405",52,""
"16714036004","000915",73,""
"16714036004","002432",24,""
"16714036004","010138",14,""
"16714036004","010141",15,""
"16714036004","010143",16,""
"16714036004","013405",52,""
"16714036301","000915",73,""
"16714036301","002432",24,""
"16714036301","010138",14,""
"16714036301","010141",15,""
"16714036301","010143",16,""
"16714036301","013405",52,""
"16714036304","000915",73,""
"16714036304","002432",24,""
"16714036304","010138",14,""
"16714036304","010141",15,""
"16714036304","010143",16,""
"16714036304","013405",52,""
"16714036501","000915",73,""
"16714036501","002432",24,""
"16714036501","010138",14,""
"16714036501","010141",15,""
"16714036501","010143",16,""
"16714036501","013405",52,""
"16714036504","000915",73,""
"16714036504","002432",24,""
"16714036504","010138",14,""
"16714036504","010141",15,""
"16714036504","010143",16,""
"16714036504","013405",52,""
"16714036603","000915",73,""
"16714036603","002432",24,""
"16714036603","010138",14,""
"16714036603","010141",15,""
"16714036603","010143",16,""
"16714036603","013405",52,""
"16714037001","000915",73,""
"16714037001","002432",24,""
"16714037003","000915",73,""
"16714037003","002432",24,""
"16714038801","002432",24,""
"16714038801","002549",98,""
"16714038801","010138",14,""
"16714038801","010141",15,""
"16714038802","002432",24,""
"16714038802","002549",98,""
"16714038802","010138",14,""
"16714038802","010141",15,""
"16714038901","002551",168,""
"16714038901","002598",83,""
"16714038901","009284",55,""
"16714038901","010143",16,""
"16714039001","002551",168,""
"16714039001","002598",83,""
"16714039001","009284",55,""
"16714039001","010143",16,""
"16714039002","002551",168,""
"16714039002","002598",83,""
"16714039002","009284",55,""
"16714039002","010143",16,""
"16714039101","002549",98,""
"16714039101","010138",14,""
"16714039101","010141",15,""
"16714039102","002549",98,""
"16714039102","010138",14,""
"16714039102","010141",15,""
"16714039201","002332",46,""
"16714039201","002598",83,""
"16714039202","002332",46,""
"16714039202","002598",83,""
"16714039301","002332",46,""
"16714039301","002598",83,""
"16714039401","002432",24,""
"16714039401","002537",169,""
"16714039401","010143",16,""
"16714039501","002432",24,""
"16714039501","002537",169,""
"16714039501","010141",15,""
"16714039501","010143",16,""
"16714039601","002551",168,""
"16714039601","002598",83,""
"16714039601","002605",6,""
"16714039601","010141",15,""
"16714039602","002551",168,""
"16714039602","002598",83,""
"16714039602","002605",6,""
"16714039602","010141",15,""
"16714039603","002551",168,""
"16714039603","002598",83,""
"16714039603","002605",6,""
"16714039603","010141",15,""
"16714039701","002551",168,""
"16714039701","002598",83,""
"16714039701","002605",6,""
"16714039701","010141",15,""
"16714039702","002551",168,""
"16714039702","002598",83,""
"16714039702","002605",6,""
"16714039702","010141",15,""
"16714039703","002551",168,""
"16714039703","002598",83,""
"16714039703","002605",6,""
"16714039703","010141",15,""
"16714039801","010143",16,""
"16714039901","",0,"No Inactive Ingredients Reported"
"16714040001","",0,"No Inactive Ingredients Reported"
"16714040002","",0,"No Inactive Ingredients Reported"
"16714040101","",0,"No Inactive Ingredients Reported"
"16714040102","",0,"No Inactive Ingredients Reported"
"16714040201","002332",46,""
"16714040201","002432",24,""
"16714040201","002598",83,""
"16714040202","002332",46,""
"16714040202","002432",24,""
"16714040202","002598",83,""
"16714040301","002332",46,""
"16714040301","002432",24,""
"16714040301","002598",83,""
"16714040302","002332",46,""
"16714040302","002432",24,""
"16714040302","002598",83,""
"16714040401","000915",73,""
"16714040401","002432",24,""
"16714040401","002537",169,""
"16714040401","008923",56,""
"16714040401","010138",14,""
"16714040401","010141",15,""
"16714040401","010143",16,""
"16714040401","013405",52,""
"16714040404","000915",73,""
"16714040404","002432",24,""
"16714040404","002537",169,""
"16714040404","008923",56,""
"16714040404","010138",14,""
"16714040404","010141",15,""
"16714040404","010143",16,""
"16714040404","013405",52,""
"16714040501","002432",24,""
"16714040501","002537",169,""
"16714040501","010138",14,""
"16714040501","010143",16,""
"16714040501","013405",52,""
"16714040504","002432",24,""
"16714040504","002537",169,""
"16714040504","010138",14,""
"16714040504","010143",16,""
"16714040504","013405",52,""
"16714040601","002432",24,""
"16714040601","002537",169,""
"16714040601","010138",14,""
"16714040601","010143",16,""
"16714040601","013405",52,""
"16714040604","002432",24,""
"16714040604","002537",169,""
"16714040604","010138",14,""
"16714040604","010143",16,""
"16714040604","013405",52,""
"16714040701","002432",24,""
"16714040701","010138",14,""
"16714040701","010143",16,""
"16714040701","013405",52,""
"16714040703","002432",24,""
"16714040703","010138",14,""
"16714040703","010143",16,""
"16714040703","013405",52,""
"16714040801","002432",24,""
"16714040801","010138",14,""
"16714040801","010143",16,""
"16714040801","013405",52,""
"16714040803","002432",24,""
"16714040803","010138",14,""
"16714040803","010143",16,""
"16714040803","013405",52,""
"16714041601","002432",24,""
"16714041601","002537",169,""
"16714041601","010138",14,""
"16714041601","010143",16,""
"16714041601","013405",52,""
"16714041603","002432",24,""
"16714041603","002537",169,""
"16714041603","010138",14,""
"16714041603","010143",16,""
"16714041603","013405",52,""
"16714043901","002432",24,""
"16714043901","002537",169,""
"16714043901","002549",98,""
"16714043901","002598",83,""
"16714043901","010138",14,""
"16714043901","010141",15,""
"16714043901","010143",16,""
"16714044001","002432",24,""
"16714044001","010138",14,""
"16714044001","010141",15,""
"16714044001","010143",16,""
"16714044001","013405",52,""
"16714044004","002432",24,""
"16714044004","010138",14,""
"16714044004","010141",15,""
"16714044004","010143",16,""
"16714044004","013405",52,""
"16714044101","002432",24,""
"16714044101","010138",14,""
"16714044101","010143",16,""
"16714044101","013405",52,""
"16714044104","002432",24,""
"16714044104","010138",14,""
"16714044104","010143",16,""
"16714044104","013405",52,""
"16714044201","002432",24,""
"16714044201","011039",45,""
"16714044202","002432",24,""
"16714044202","011039",45,""
"16714044301","002432",24,""
"16714044301","011039",45,""
"16714044302","002432",24,""
"16714044302","011039",45,""
"16714044401","002432",24,""
"16714044401","011039",45,""
"16714044402","002432",24,""
"16714044402","011039",45,""
"16714044501","002432",24,""
"16714044501","011039",45,""
"16714044502","002432",24,""
"16714044502","011039",45,""
"16714044601","002432",24,""
"16714044601","010138",14,""
"16714044601","010141",15,""
"16714044601","010143",16,""
"16714044602","002432",24,""
"16714044602","010138",14,""
"16714044602","010141",15,""
"16714044602","010143",16,""
"16714044701","002432",24,""
"16714044701","010138",14,""
"16714044701","010141",15,""
"16714044701","010143",16,""
"16714044702","002432",24,""
"16714044702","010138",14,""
"16714044702","010141",15,""
"16714044702","010143",16,""
"16714044801","002432",24,""
"16714044801","010138",14,""
"16714044801","010141",15,""
"16714044801","010143",16,""
"16714044802","002432",24,""
"16714044802","010138",14,""
"16714044802","010141",15,""
"16714044802","010143",16,""
"16714044901","002432",24,""
"16714044901","010138",14,""
"16714044901","010141",15,""
"16714045001","002432",24,""
"16714045001","010141",15,""
"16714045001","010143",16,""
"16714045101","002432",24,""
"16714045101","010138",14,""
"16714045101","010141",15,""
"16714045101","010143",16,""
"16714045201","002432",24,""
"16714045201","002537",169,""
"16714045202","002432",24,""
"16714045202","002537",169,""
"16714045301","002432",24,""
"16714045301","002537",169,""
"16714045302","002432",24,""
"16714045302","002537",169,""
"16714045401","002432",24,""
"16714045401","002537",169,""
"16714045402","002432",24,""
"16714045402","002537",169,""
"16714045501","002432",24,""
"16714045501","002537",169,""
"16714045601","002432",24,""
"16714045601","002537",169,""
"16714045701","002432",24,""
"16714045701","002537",169,""
"16714046401","000915",73,""
"16714046401","002432",24,""
"16714046401","002537",169,""
"16714046401","010138",14,""
"16714046401","010141",15,""
"16714046401","010143",16,""
"16714046404","000915",73,""
"16714046404","002432",24,""
"16714046404","002537",169,""
"16714046404","010138",14,""
"16714046404","010141",15,""
"16714046404","010143",16,""
"16714046701","002432",24,""
"16714046801","002432",24,""
"16714047601","",0,"No Inactive Ingredients Reported"
"16714047701","",0,"No Inactive Ingredients Reported"
"16714047802","002537",169,""
"16714048301","002598",83,""
"16714048301","003203",33,""
"16714048401","002272",28,""
"16714048401","010138",14,""
"16714048402","002272",28,""
"16714048402","010138",14,""
"16714048501","000915",73,""
"16714048501","002272",28,""
"16714048501","010138",14,""
"16714048502","000915",73,""
"16714048502","002272",28,""
"16714048502","010138",14,""
"16714049601","002468",39,""
"16714049601","003192",10,""
"16714049602","002468",39,""
"16714049602","003192",10,""
"16714049701","000915",73,""
"16714049701","002432",24,""
"16714049701","002537",169,""
"16714049701","010141",15,""
"16714049701","010143",16,""
"16714049702","000915",73,""
"16714049702","002432",24,""
"16714049702","002537",169,""
"16714049702","010141",15,""
"16714049702","010143",16,""
"16714049801","000915",73,""
"16714049801","002432",24,""
"16714049801","002537",169,""
"16714049801","010138",14,""
"16714049802","000915",73,""
"16714049802","002432",24,""
"16714049802","002537",169,""
"16714049802","010138",14,""
"16714049901","000915",73,""
"16714049901","002432",24,""
"16714049901","002537",169,""
"16714049901","010138",14,""
"16714049901","010141",15,""
"16714049901","010143",16,""
"16714049902","000915",73,""
"16714049902","002432",24,""
"16714049902","002537",169,""
"16714049902","010138",14,""
"16714049902","010141",15,""
"16714049902","010143",16,""
"16714051001","002432",24,""
"16714051001","002537",169,""
"16714051002","002432",24,""
"16714051002","002537",169,""
"16714051003","002432",24,""
"16714051003","002537",169,""
"16714052301","002549",98,""
"16714052301","010138",14,""
"16714052301","010141",15,""
"16714052301","010143",16,""
"16714052302","002549",98,""
"16714052302","010138",14,""
"16714052302","010141",15,""
"16714052302","010143",16,""
"16714052401","002549",98,""
"16714052401","010138",14,""
"16714052401","010141",15,""
"16714052401","010143",16,""
"16714052402","002549",98,""
"16714052402","010138",14,""
"16714052402","010141",15,""
"16714052402","010143",16,""
"16714052501","002549",98,""
"16714052501","010138",14,""
"16714052501","010141",15,""
"16714052501","010143",16,""
"16714052502","002549",98,""
"16714052502","010138",14,""
"16714052502","010141",15,""
"16714052502","010143",16,""
"16714052601","003141",8,""
"16714052601","003785",19,""
"16714052701","003141",8,""
"16714052701","003785",19,""
"16714052801","003785",19,""
"16714052801","006947",20,""
"16714052801","013405",52,""
"16714052801","018822",170,""
"16714052810","003785",19,""
"16714052810","006947",20,""
"16714052810","013405",52,""
"16714052810","018822",170,""
"16714052820","003785",19,""
"16714052820","006947",20,""
"16714052820","013405",52,""
"16714052820","018822",170,""
"16714052901","002537",169,""
"16714052902","002537",169,""
"16714053001","002537",169,""
"16714053002","002537",169,""
"16714053401","002432",24,""
"16714053501","",0,"No Inactive Ingredients Reported"
"16714053601","003192",10,""
"16714053625","003192",10,""
"16714053701","002537",169,""
"16714053701","010143",16,""
"16714053702","002537",169,""
"16714053702","010143",16,""
"16714054001","003192",10,""
"16714054001","018822",170,""
"16714054801","002537",169,""
"16714054801","010138",14,""
"16714054901","002537",169,""
"16714055001","002537",169,""
"16714055201","002537",169,""
"16714055201","010138",14,""
"16714055301","002537",169,""
"16714055301","002549",98,""
"16714055301","002598",83,""
"16714055301","010141",15,""
"16714055301","010143",16,""
"16714055401","002537",169,""
"16714055401","002549",98,""
"16714055401","002598",83,""
"16714055401","010141",15,""
"16714055401","010143",16,""
"16714055501","002537",169,""
"16714055501","002549",98,""
"16714055501","002598",83,""
"16714055501","010141",15,""
"16714055501","010143",16,""
"16714055601","",0,"No Inactive Ingredients Reported"
"16714055701","002468",39,""
"16714055701","003203",33,""
"16714055701","003785",19,""
"16714055801","002272",28,""
"16714055801","002537",169,""
"16714055801","010143",16,""
"16714055802","002272",28,""
"16714055802","002537",169,""
"16714055802","010143",16,""
"16714055901","002272",28,""
"16714055901","002537",169,""
"16714055901","010143",16,""
"16714055902","002272",28,""
"16714055902","002537",169,""
"16714055902","010143",16,""
"16714056001","002272",28,""
"16714056001","002537",169,""
"16714056001","010138",14,""
"16714056001","010143",16,""
"16714056002","002272",28,""
"16714056002","002537",169,""
"16714056002","010138",14,""
"16714056002","010143",16,""
"16714056201","002549",98,""
"16714056201","002598",83,""
"16714056201","010138",14,""
"16714056301","002549",98,""
"16714056301","002598",83,""
"16714056401","002549",98,""
"16714056401","002598",83,""
"16714056401","010138",14,""
"16714056401","010141",15,""
"16714056501","002549",98,""
"16714056501","002598",83,""
"16714056601","002549",98,""
"16714056601","002598",83,""
"16714056601","010138",14,""
"16714056701","002549",98,""
"16714056701","002598",83,""
"16714056801","002549",98,""
"16714056801","002598",83,""
"16714056801","010138",14,""
"16714056901","002549",98,""
"16714056901","002598",83,""
"16714056901","010138",14,""
"16714056901","010141",15,""
"16714057001","002272",28,""
"16714057001","002537",169,""
"16714057001","010143",16,""
"16714057002","002272",28,""
"16714057002","002537",169,""
"16714057002","010143",16,""
"16714057201","003192",10,""
"16714057201","018822",170,""
"16714057601","002432",24,""
"16714057601","002537",169,""
"16714057602","002432",24,""
"16714057602","002537",169,""
"16714057603","002432",24,""
"16714057603","002537",169,""
"16714057604","002432",24,""
"16714057604","002537",169,""
"16714057701","002432",24,""
"16714057701","002537",169,""
"16714057701","010143",16,""
"16714057702","002432",24,""
"16714057702","002537",169,""
"16714057702","010143",16,""
"16714057801","002272",28,""
"16714059001","002432",24,""
"16714059001","010143",16,""
"16714059002","002432",24,""
"16714059002","010143",16,""
"16714059101","002432",24,""
"16714059101","010143",16,""
"16714059102","002432",24,""
"16714059102","010143",16,""
"16714060102","001539",22,""
"16714060102","002468",39,""
"16714060102","007989",157,""
"16714060901","003192",10,""
"16714060905","003192",10,""
"16714061101","010138",14,""
"16714061101","010141",15,""
"16714061101","010143",16,""
"16714061104","010138",14,""
"16714061104","010141",15,""
"16714061104","010143",16,""
"16714061105","010138",14,""
"16714061105","010141",15,""
"16714061105","010143",16,""
"16714061106","010138",14,""
"16714061106","010141",15,""
"16714061106","010143",16,""
"16714061201","010138",14,""
"16714061204","010138",14,""
"16714061205","010138",14,""
"16714061206","010138",14,""
"16714061301","",0,"No Inactive Ingredients Reported"
"16714061304","",0,"No Inactive Ingredients Reported"
"16714061305","",0,"No Inactive Ingredients Reported"
"16714061306","",0,"No Inactive Ingredients Reported"
"16714062001","003192",10,""
"16714062025","003192",10,""
"16714062101","002432",24,""
"16714062102","002432",24,""
"16714062201","002432",24,""
"16714062202","002432",24,""
"16714062301","002432",24,""
"16714062401","002432",24,""
"16714062501","002432",24,""
"16714062601","002432",24,""
"16714062601","010138",14,""
"16714062701","002432",24,""
"16714062801","000756",42,""
"16714062801","003141",8,""
"16714062801","003785",19,""
"16714063101","002537",169,""
"16714063102","002537",169,""
"16714063201","002537",169,""
"16714063202","002537",169,""
"16714063301","002537",169,""
"16714063302","002537",169,""
"16714063401","002549",98,""
"16714063401","002598",83,""
"16714063401","010138",14,""
"16714063401","010141",15,""
"16714063402","002549",98,""
"16714063402","002598",83,""
"16714063402","010138",14,""
"16714063402","010141",15,""
"16714063403","002549",98,""
"16714063403","002598",83,""
"16714063403","010138",14,""
"16714063403","010141",15,""
"16714064301","",0,"No Inactive Ingredients Reported"
"16714064401","002272",28,""
"16714064410","002272",28,""
"16714064501","002432",24,""
"16714064502","002432",24,""
"16714064503","002432",24,""
"16714064601","002432",24,""
"16714064602","002432",24,""
"16714064603","002432",24,""
"16714064701","002432",24,""
"16714064702","002432",24,""
"16714064703","002432",24,""
"16714065202","002537",169,""
"16714065501","002432",24,""
"16714065601","002432",24,""
"16714065701","002432",24,""
"16714065801","002432",24,""
"16714065901","002432",24,""
"16714066101","002549",98,""
"16714066102","002549",98,""
"16714066201","002549",98,""
"16714066202","002549",98,""
"16714066301","002549",98,""
"16714066302","002549",98,""
"16714067102","002332",46,""
"16714067102","002598",83,""
"16714067102","003785",19,""
"16714067201","",0,"No Inactive Ingredients Reported"
"16714067301","010143",16,""
"16714067401","010138",14,""
"16714067401","010143",16,""
"16714067402","010138",14,""
"16714067402","010143",16,""
"16714067501","010143",16,""
"16714067502","010143",16,""
"16714067601","002272",28,""
"16714067601","002537",169,""
"16714067601","002549",98,""
"16714067701","002272",28,""
"16714067701","002537",169,""
"16714067701","002549",98,""
"16714067801","002272",28,""
"16714067801","002537",169,""
"16714067801","002549",98,""
"16714067901","002272",28,""
"16714067901","002537",169,""
"16714067901","002549",98,""
"16714068101","002432",24,""
"16714068102","002432",24,""
"16714068201","002432",24,""
"16714068202","002432",24,""
"16714068203","002432",24,""
"16714068301","002432",24,""
"16714068302","002432",24,""
"16714068303","002432",24,""
"16714068401","002432",24,""
"16714068402","002432",24,""
"16714068403","002432",24,""
"16714068501","002432",24,""
"16714068502","002432",24,""
"16714068503","002432",24,""
"16714069001","003785",19,""
"16714069001","006947",20,""
"16714069001","013405",52,""
"16714069001","018822",170,""
"16714069010","003785",19,""
"16714069010","006947",20,""
"16714069010","013405",52,""
"16714069010","018822",170,""
"16714069101","002537",169,""
"16714069101","010141",15,""
"16714069102","002537",169,""
"16714069102","010141",15,""
"16714069210","002537",169,""
"16714069210","010141",15,""
"16714069211","002537",169,""
"16714069211","010141",15,""
"16714069301","002537",169,""
"16714069301","010141",15,""
"16714069302","002537",169,""
"16714069302","010141",15,""
"16714069401","002537",169,""
"16714069401","010141",15,""
"16714069501","002332",46,""
"16714069501","002598",83,""
"16714069601","002332",46,""
"16714069601","002598",83,""
"16714069701","002537",169,""
"16714069701","010138",14,""
"16714069703","002537",169,""
"16714069703","010138",14,""
"16714069801","002537",169,""
"16714069801","010138",14,""
"16714069803","002537",169,""
"16714069803","010138",14,""
"16714070001","002432",24,""
"16714070001","002537",169,""
"16714070101","002432",24,""
"16714070101","002537",169,""
"16714070101","010143",16,""
"16714070201","002432",24,""
"16714070201","002537",169,""
"16714070301","002432",24,""
"16714070301","002537",169,""
"16714070301","010138",14,""
"16714071301","002549",98,""
"16714071301","010138",14,""
"16714071302","002549",98,""
"16714071302","010138",14,""
"16714071401","002272",28,""
"16714071401","002537",169,""
"16714071401","002549",98,""
"16714071401","010138",14,""
"16714071401","010141",15,""
"16714071401","010143",16,""
"16714071501","002272",28,""
"16714071501","002537",169,""
"16714071501","002549",98,""
"16714071501","010138",14,""
"16714071501","010141",15,""
"16714071501","010143",16,""
"16714071502","002272",28,""
"16714071502","002537",169,""
"16714071502","002549",98,""
"16714071502","010138",14,""
"16714071502","010141",15,""
"16714071502","010143",16,""
"16714071503","002272",28,""
"16714071503","002537",169,""
"16714071503","002549",98,""
"16714071503","010138",14,""
"16714071503","010141",15,""
"16714071503","010143",16,""
"16714071701","002432",24,""
"16714071701","002537",169,""
"16714071801","002432",24,""
"16714071801","002537",169,""
"16714072002","002549",98,""
"16714072002","010138",14,""
"16714072003","002549",98,""
"16714072003","010138",14,""
"16714072102","002549",98,""
"16714072102","010138",14,""
"16714072103","002549",98,""
"16714072103","010138",14,""
"16714072202","002549",98,""
"16714072202","010138",14,""
"16714072202","010143",16,""
"16714072203","002549",98,""
"16714072203","010138",14,""
"16714072203","010143",16,""
"16714072204","002549",98,""
"16714072204","010138",14,""
"16714072204","010143",16,""
"16714072901","003203",33,""
"16714072902","003203",33,""
"16714073101","002432",24,""
"16714073101","002537",169,""
"16714073101","002549",98,""
"16714073201","002432",24,""
"16714073201","002537",169,""
"16714073201","002549",98,""
"16714073202","002432",24,""
"16714073202","002537",169,""
"16714073202","002549",98,""
"16714073301","002432",24,""
